No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,NodeWeight,EdgeWeight,Classification
1,0.0,172.28.94.58,75.65.54.216,TCP,66,49382.0,80.0,ACK,1.0,1.0,69.0,0.0,6561413.0,25591731.0,22,22,Internal
3,0.000373,75.65.54.216,172.28.94.58,TCP,1514,80.0,49382.0,ACK,1449.0,1.0,46.0,1448.0,25591731.0,6561413.0,21,21,External
23,0.001538,172.28.94.58,75.65.54.216,HTTP,115,,,,,,,,,,22,22,Internal
24,0.001665,172.28.161.112,78.183.19.228,TCP,74,36307.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,25,25,Internal
26,0.001866,78.183.19.228,172.28.161.112,TCP,74,,,,0.0,1.0,5792.0,0.0,25591731.0,6561413.0,25,25,External
28,0.001934,172.28.161.112,78.183.19.228,HTTP,95,,,,,,,,,,25,25,Internal
45,0.002574,75.65.54.216,172.28.94.58,HTTP,293,,,,,,,,,,21,21,External
77,0.003817,151.140.190.196,172.28.58.87,TCP,1514,80.0,48524.0,ACK,1.0,1.0,46.0,1448.0,25591731.0,6561411.0,76,76,External
82,0.003925,172.28.58.87,151.140.190.196,TCP,66,48524.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561413.0,25591731.0,46,46,Internal
90,0.00397,78.183.19.228,172.28.161.112,HTTP,561,,,,,,,,,,25,25,External
122,0.005253,172.28.181.73,131.60.191.153,TCP,74,36070.0,80.0,SYN,0.0,,5840.0,0.0,6561413.0,0.0,35,35,Internal
146,0.005497,131.60.191.153,172.28.181.73,TCP,74,,,,0.0,1.0,5792.0,0.0,25591732.0,6561413.0,44,44,External
147,0.005516,172.28.10.6,192.168.121.50,DNS,91,,,,,,,,,,586,586,Internal
152,0.005592,172.28.181.73,131.60.191.153,HTTP,94,,,,,,,,,,35,35,Internal
192,0.006127,192.168.121.50,172.28.10.6,DNS,175,,,,,,,,,,586,586,External
215,0.006473,151.140.190.196,172.28.58.87,HTTP,679,,,,,,,,,,76,76,External
223,0.012427,44.144.78.237,172.28.172.226,TCP,1514,80.0,59419.0,ACK,1.0,1.0,46.0,1448.0,25591732.0,6561412.0,153,153,External
225,0.01253,172.28.172.226,44.144.78.237,TCP,66,59419.0,80.0,ACK,1.0,1449.0,69.0,0.0,6561414.0,25591732.0,111,111,Internal
251,0.01384,172.28.65.22,16.201.194.55,TCP,74,45733.0,80.0,SYN,0.0,,5840.0,0.0,6561414.0,0.0,10,10,Internal
275,0.014114,16.201.194.55,172.28.65.22,TCP,74,,,,0.0,1.0,5792.0,0.0,25591732.0,6561414.0,10,10,External
277,0.014151,172.28.10.6,199.7.83.42,DNS,90,,,,,,,,,,193,193,Internal
281,0.014206,172.28.65.22,16.201.194.55,HTTP,94,,,,,,,,,,10,10,Internal
321,0.014744,199.7.83.42,172.28.10.6,DNS,174,,,,,,,,,,193,193,External
322,0.014749,16.201.194.55,172.28.65.22,HTTP,596,,,,,,,,,,10,10,External
497,0.021078,44.144.78.237,172.28.172.226,HTTP,528,,,,,,,,,,153,153,External
513,0.024609,172.28.1.5,64.180.1.1,TCP,74,36458.0,25.0,SYN,0.0,,5840.0,0.0,6376540.0,0.0,851,851,Internal
518,0.024874,64.180.1.1,172.28.1.5,TCP,74,,,,0.0,1.0,5792.0,0.0,24975403.0,6376540.0,1028,1028,External
542,0.025797,172.28.187.89,111.123.94.96,TCP,74,55800.0,80.0,SYN,0.0,,5840.0,0.0,6561415.0,0.0,15,15,Internal
564,0.02601,111.123.94.96,172.28.187.89,TCP,74,,,,0.0,1.0,5792.0,0.0,25591734.0,6561415.0,15,15,External
569,0.026091,172.28.187.89,111.123.94.96,HTTP,94,,,,,,,,,,15,15,Internal
570,0.026113,172.28.10.6,192.5.5.241,DNS,89,,,,,,,,,,200,200,Internal
583,0.026417,131.60.191.153,172.28.181.73,HTTP,212,,,,,,,,,,44,44,External
586,0.026438,192.5.5.241,172.28.10.6,DNS,173,,,,,,,,,,200,200,External
611,0.027585,111.123.94.96,172.28.187.89,HTTP,693,,,,,,,,,,15,15,External
620,0.031379,172.28.89.26,65.95.92.37,TCP,74,55462.0,80.0,SYN,0.0,,5840.0,0.0,6561416.0,0.0,20,20,Internal
621,0.031577,65.95.92.37,172.28.89.26,TCP,74,,,,0.0,1.0,5792.0,0.0,25591734.0,6561416.0,20,20,External
623,0.031646,172.28.89.26,65.95.92.37,HTTP,95,,,,,,,,,,20,20,Internal
631,0.035421,65.95.92.37,172.28.89.26,HTTP,801,,,,,,,,,,20,20,External
647,0.041148,172.28.158.111,74.36.86.139,TCP,74,54633.0,80.0,SYN,0.0,,5840.0,0.0,6561417.0,0.0,100,100,Internal
654,0.041353,74.36.86.139,172.28.158.111,TCP,74,,,,0.0,1.0,5792.0,0.0,25591735.0,6561417.0,168,168,External
662,0.041454,172.28.158.111,74.36.86.139,HTTP,95,,,,,,,,,,100,100,Internal
722,0.043866,172.28.144.125,53.223.185.188,TCP,74,53541.0,80.0,SYN,0.0,,5840.0,0.0,6561417.0,0.0,646,646,Internal
747,0.044164,172.28.10.6,192.36.148.17,DNS,89,,,,,,,,,,191,191,Internal
760,0.044262,53.223.185.188,172.28.144.125,TCP,74,,,,0.0,1.0,5792.0,0.0,25591735.0,6561417.0,1075,1075,External
764,0.044362,172.28.144.125,53.223.185.188,HTTP,93,,,,,,,,,,646,646,Internal
804,0.04484,192.36.148.17,172.28.10.6,DNS,173,,,,,,,,,,191,191,External
903,0.045581,74.36.86.139,172.28.158.111,HTTP,486,,,,,,,,,,168,168,External
1865,0.053159,172.28.37.74,58.251.29.233,TCP,74,48180.0,80.0,SYN,0.0,,5840.0,0.0,6561418.0,0.0,36,36,Internal
2248,0.056296,172.28.93.172,111.250.225.110,TCP,74,43445.0,80.0,SYN,0.0,,5840.0,0.0,6561418.0,0.0,21,21,Internal
2355,0.057167,58.251.29.233,172.28.37.74,TCP,74,,,,0.0,1.0,5792.0,0.0,25591736.0,6561418.0,47,47,External
2367,0.057257,172.28.37.74,58.251.29.233,HTTP,94,,,,,,,,,,36,36,Internal
2648,0.059543,53.223.185.188,172.28.144.125,HTTP,136,,,,,,,,,,1075,1075,External
2649,0.059544,111.250.225.110,172.28.93.172,TCP,74,,,,0.0,1.0,5792.0,0.0,25591737.0,6561418.0,21,21,External
2657,0.059634,172.28.93.172,111.250.225.110,HTTP,95,,,,,,,,,,21,21,Internal
2690,0.06069,111.250.225.110,172.28.93.172,HTTP,1498,,,,,,,,,,21,21,External
2746,0.061673,58.251.29.233,172.28.37.74,HTTP,1113,,,,,,,,,,47,47,External
2776,0.063628,172.28.81.112,84.89.48.89,TCP,74,60679.0,80.0,SYN,0.0,,5840.0,0.0,6561419.0,0.0,5,5,Internal
2777,0.063827,84.89.48.89,172.28.81.112,TCP,74,,,,0.0,1.0,5792.0,0.0,25591737.0,6561419.0,5,5,External
2779,0.063898,172.28.81.112,84.89.48.89,HTTP,94,,,,,,,,,,5,5,Internal
2780,0.063922,172.28.10.6,128.63.2.53,DNS,86,,,,,,,,,,186,186,Internal
2782,0.064234,128.63.2.53,172.28.10.6,DNS,170,,,,,,,,,,186,186,External
2783,0.064286,84.89.48.89,172.28.81.112,HTTP,592,,,,,,,,,,5,5,External
2788,0.070555,172.28.73.153,99.77.103.172,TCP,74,34045.0,80.0,SYN,0.0,,5840.0,0.0,6561420.0,0.0,92,92,Internal
2789,0.070755,99.77.103.172,172.28.73.153,TCP,74,,,,0.0,1.0,5792.0,0.0,25591738.0,6561420.0,175,175,External
2791,0.070822,172.28.73.153,99.77.103.172,HTTP,94,,,,,,,,,,92,92,Internal
2797,0.071723,172.28.128.5,70.98.1.1,SMTP,122,,,,,,,,,,260,260,Internal
2844,0.072996,70.98.1.1,172.28.192.5,TCP,74,52006.0,25.0,SYN,0.0,,5840.0,0.0,24975407.0,0.0,658,658,External
2851,0.073156,172.28.192.5,70.98.1.1,TCP,74,,,,0.0,1.0,5792.0,0.0,6376545.0,24975407.0,452,452,Internal
3051,0.075158,99.77.103.172,172.28.73.153,HTTP,1173,,,,,,,,,,175,175,External
3059,0.075412,64.180.112.113,172.28.3.106,TCP,66,,,,1.0,1.0,408.0,0.0,24975407.0,6374276.0,2,2,External
3062,0.075547,172.28.3.106,64.180.112.113,TCP,66,80.0,40885.0,ACK,1.0,2.0,46.0,0.0,6376545.0,24975407.0,2,2,Internal
3063,0.075628,66.200.65.121,172.28.13.27,TCP,74,40964.0,80.0,SYN,0.0,,5840.0,0.0,24975407.0,0.0,18,18,External
3064,0.075808,172.28.13.27,66.200.65.121,TCP,74,,,,0.0,1.0,5792.0,0.0,6376545.0,24975407.0,16,16,Internal
3066,0.076269,66.200.65.121,172.28.13.27,HTTP,145,,,,,,,,,,18,18,External
3068,0.078907,172.28.164.232,199.123.180.41,TCP,74,59367.0,80.0,SYN,0.0,,5840.0,0.0,6561420.0,0.0,28,28,Internal
3069,0.079102,199.123.180.41,172.28.164.232,TCP,74,,,,0.0,1.0,5792.0,0.0,25591739.0,6561420.0,28,28,External
3071,0.079173,172.28.164.232,199.123.180.41,HTTP,94,,,,,,,,,,28,28,Internal
3081,0.080158,199.123.180.41,172.28.164.232,HTTP,228,,,,,,,,,,28,28,External
3129,0.083094,172.28.13.27,66.200.65.121,HTTP,585,,,,,,,,,,16,16,Internal
3139,0.087386,172.28.229.147,54.199.172.152,TCP,74,35761.0,80.0,SYN,0.0,,5840.0,0.0,6561421.0,0.0,5,5,Internal
3140,0.087586,54.199.172.152,172.28.229.147,TCP,74,,,,0.0,1.0,5792.0,0.0,25591740.0,6561421.0,5,5,External
3142,0.087651,172.28.229.147,54.199.172.152,HTTP,94,,,,,,,,,,5,5,Internal
3144,0.088036,54.199.172.152,172.28.229.147,HTTP,594,,,,,,,,,,5,5,External
3149,0.0989,172.28.206.63,83.218.149.167,TCP,74,47430.0,80.0,SYN,0.0,,5840.0,0.0,6561422.0,0.0,157,157,Internal
3150,0.099104,83.218.149.167,172.28.206.63,TCP,74,,,,0.0,1.0,5792.0,0.0,25591741.0,6561422.0,306,306,External
3152,0.099172,172.28.206.63,83.218.149.167,HTTP,93,,,,,,,,,,157,157,Internal
3606,0.104925,83.218.149.167,172.28.206.63,HTTP,712,,,,,,,,,,306,306,External
3620,0.109152,70.98.1.1,172.28.128.5,TCP,66,43736.0,25.0,ACK,1.0,57.0,71.0,0.0,24975411.0,6376544.0,284,284,External
3621,0.109191,172.28.149.109,91.166.206.238,TCP,74,41298.0,80.0,SYN,0.0,,5840.0,0.0,6561423.0,0.0,25,25,Internal
3622,0.109393,91.166.206.238,172.28.149.109,TCP,74,,,,0.0,1.0,5792.0,0.0,25591742.0,6561423.0,25,25,External
3624,0.109461,172.28.149.109,91.166.206.238,HTTP,94,,,,,,,,,,25,25,Internal
3639,0.110889,91.166.206.238,172.28.149.109,HTTP,1492,,,,,,,,,,25,25,External
3671,0.117448,172.28.225.64,147.220.12.52,TCP,74,59382.0,80.0,SYN,0.0,,5840.0,0.0,6561424.0,0.0,30,30,Internal
3672,0.117648,147.220.12.52,172.28.225.64,TCP,74,,,,0.0,1.0,5792.0,0.0,25591743.0,6561424.0,32,32,External
3674,0.117718,172.28.225.64,147.220.12.52,HTTP,94,,,,,,,,,,30,30,Internal
3724,0.124798,147.220.12.52,172.28.225.64,HTTP,329,,,,,,,,,,32,32,External
3732,0.12507,172.28.145.21,189.15.86.68,TCP,74,48055.0,80.0,SYN,0.0,,5840.0,0.0,6561425.0,0.0,10,10,Internal
3734,0.125271,189.15.86.68,172.28.145.21,TCP,74,,,,0.0,1.0,5792.0,0.0,25591743.0,6561425.0,10,10,External
3736,0.125343,172.28.145.21,189.15.86.68,HTTP,94,,,,,,,,,,10,10,Internal
3737,0.12539,172.28.10.6,192.33.4.12,DNS,87,,,,,,,,,,170,170,Internal
3741,0.125837,192.33.4.12,172.28.10.6,DNS,171,,,,,,,,,,170,170,External
3748,0.126366,189.15.86.68,172.28.145.21,HTTP,1473,,,,,,,,,,10,10,External
3755,0.136831,172.28.1.5,64.180.1.1,SMTP,170,,,,,,,,,,851,851,Internal
3756,0.137278,172.28.229.40,202.15.13.87,TCP,74,49623.0,80.0,SYN,0.0,,5840.0,0.0,6561426.0,0.0,10,10,Internal
3757,0.137495,64.180.1.1,172.28.1.5,SMTP,1090,,,,,,,,,,1028,1028,External
3758,0.137496,202.15.13.87,172.28.229.40,TCP,74,,,,0.0,1.0,5792.0,0.0,25591745.0,6561426.0,10,10,External
3760,0.137593,172.28.229.40,202.15.13.87,HTTP,94,,,,,,,,,,10,10,Internal
3767,0.137972,202.15.13.87,172.28.229.40,HTTP,592,,,,,,,,,,10,10,External
3829,0.149756,172.28.178.186,42.156.48.26,TCP,74,44085.0,80.0,SYN,0.0,,5840.0,0.0,6561427.0,0.0,10,10,Internal
3830,0.149955,42.156.48.26,172.28.178.186,TCP,74,,,,0.0,1.0,5792.0,0.0,25591746.0,6561427.0,10,10,External
3832,0.150026,172.28.178.186,42.156.48.26,HTTP,95,,,,,,,,,,10,10,Internal
3833,0.150066,172.28.10.6,192.58.128.30,DNS,88,,,,,,,,,,194,194,Internal
3837,0.150515,192.58.128.30,172.28.10.6,DNS,172,,,,,,,,,,194,194,External
3844,0.151042,42.156.48.26,172.28.178.186,HTTP,1432,,,,,,,,,,10,10,External
3851,0.15575,172.28.182.137,173.31.60.76,TCP,74,58748.0,80.0,SYN,0.0,,5840.0,0.0,6561428.0,0.0,34,34,Internal
3852,0.155949,173.31.60.76,172.28.182.137,TCP,74,,,,0.0,1.0,5792.0,0.0,25591747.0,6561428.0,41,41,External
3854,0.156017,172.28.182.137,173.31.60.76,HTTP,94,,,,,,,,,,34,34,Internal
3919,0.158535,173.31.60.76,172.28.182.137,HTTP,362,,,,,,,,,,41,41,External
3926,0.159961,172.28.157.15,156.5.209.80,TCP,74,34842.0,80.0,SYN,0.0,,5840.0,0.0,6561429.0,0.0,64,64,Internal
3927,0.160163,156.5.209.80,172.28.157.15,TCP,74,,,,0.0,1.0,5792.0,0.0,25591747.0,6561429.0,103,103,External
3929,0.16023,172.28.157.15,156.5.209.80,HTTP,95,,,,,,,,,,64,64,Internal
4069,0.163563,156.5.209.80,172.28.157.15,HTTP,877,,,,,,,,,,103,103,External
4080,0.164442,172.28.160.160,90.28.148.188,TCP,74,35513.0,80.0,SYN,0.0,,5840.0,0.0,6561429.0,0.0,66,66,Internal
4084,0.164694,90.28.148.188,172.28.160.160,TCP,74,,,,0.0,1.0,5792.0,0.0,25591747.0,6561429.0,118,118,External
4087,0.164799,172.28.160.160,90.28.148.188,HTTP,93,,,,,,,,,,66,66,Internal
4100,0.170492,172.28.153.211,111.28.252.238,TCP,74,44139.0,80.0,SYN,0.0,,5840.0,0.0,6561430.0,0.0,8,8,Internal
4101,0.170696,111.28.252.238,172.28.153.211,TCP,74,,,,0.0,1.0,5792.0,0.0,25591748.0,6561430.0,8,8,External
4103,0.170767,172.28.153.211,111.28.252.238,HTTP,94,,,,,,,,,,8,8,Internal
4278,0.175085,90.28.148.188,172.28.160.160,HTTP,1252,,,,,,,,,,118,118,External
4294,0.177746,111.28.252.238,172.28.153.211,HTTP,775,,,,,,,,,,8,8,External
4298,0.177973,172.28.158.253,94.86.209.196,TCP,74,56469.0,80.0,SYN,0.0,,5840.0,0.0,6561430.0,0.0,9,9,Internal
4300,0.178172,94.86.209.196,172.28.158.253,TCP,74,,,,0.0,1.0,5792.0,0.0,25591749.0,6561430.0,9,9,External
4302,0.17824,172.28.158.253,94.86.209.196,HTTP,94,,,,,,,,,,9,9,Internal
4311,0.179205,94.86.209.196,172.28.158.253,HTTP,1029,,,,,,,,,,9,9,External
4317,0.180157,172.28.149.185,68.182.95.63,TCP,74,38883.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,18,18,Internal
4318,0.180354,68.182.95.63,172.28.149.185,TCP,74,,,,0.0,1.0,5792.0,0.0,25591749.0,6561431.0,18,18,External
4320,0.18042,172.28.149.185,68.182.95.63,HTTP,94,,,,,,,,,,18,18,Internal
4322,0.181191,172.28.138.160,132.30.95.185,TCP,74,60962.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,5,5,Internal
4323,0.18139,132.30.95.185,172.28.138.160,TCP,74,,,,0.0,1.0,5792.0,0.0,25591749.0,6561431.0,5,5,External
4325,0.181455,172.28.138.160,132.30.95.185,HTTP,94,,,,,,,,,,5,5,Internal
4327,0.181842,132.30.95.185,172.28.138.160,HTTP,601,,,,,,,,,,5,5,External
4332,0.184961,172.28.182.6,18.63.206.49,TCP,74,42756.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,70,70,Internal
4333,0.18516,18.63.206.49,172.28.182.6,TCP,74,,,,0.0,1.0,5792.0,0.0,25591749.0,6561431.0,96,96,External
4335,0.185231,172.28.182.6,18.63.206.49,HTTP,93,,,,,,,,,,70,70,Internal
4357,0.188694,68.182.95.63,172.28.149.185,HTTP,470,,,,,,,,,,18,18,External
4367,0.188852,172.28.37.186,54.37.89.225,TCP,74,44419.0,80.0,SYN,0.0,,5840.0,0.0,6561431.0,0.0,5,5,Internal
4369,0.18905,54.37.89.225,172.28.37.186,TCP,74,,,,0.0,1.0,5792.0,0.0,25591750.0,6561431.0,5,5,External
4371,0.189119,172.28.37.186,54.37.89.225,HTTP,94,,,,,,,,,,5,5,Internal
4373,0.189493,54.37.89.225,172.28.37.186,HTTP,594,,,,,,,,,,5,5,External
4378,0.190211,172.28.164.35,60.208.74.22,TCP,74,39750.0,80.0,SYN,0.0,,5840.0,0.0,6561432.0,0.0,83,83,Internal
4379,0.190408,60.208.74.22,172.28.164.35,TCP,74,,,,0.0,1.0,5792.0,0.0,25591750.0,6561432.0,155,155,External
4381,0.190476,172.28.164.35,60.208.74.22,HTTP,94,,,,,,,,,,83,83,Internal
4387,0.191316,172.28.142.27,12.202.240.57,TCP,74,51877.0,80.0,SYN,0.0,,5840.0,0.0,6561432.0,0.0,52,52,Internal
4392,0.191519,12.202.240.57,172.28.142.27,TCP,74,,,,0.0,1.0,5792.0,0.0,25591750.0,6561432.0,83,83,External
4398,0.191584,172.28.142.27,12.202.240.57,HTTP,95,,,,,,,,,,52,52,Internal
4399,0.191657,172.28.10.6,192.112.36.4,DNS,96,,,,,,,,,,177,177,Internal
4415,0.192077,192.112.36.4,172.28.10.6,DNS,180,,,,,,,,,,177,177,External
4706,0.195109,60.208.74.22,172.28.164.35,HTTP,1092,,,,,,,,,,155,155,External
4745,0.19553,12.202.240.57,172.28.142.27,HTTP,1315,,,,,,,,,,83,83,External
4801,0.197494,172.28.168.183,2.249.211.218,TCP,74,44501.0,80.0,SYN,0.0,,5840.0,0.0,6561432.0,0.0,178,178,Internal
4812,0.197828,172.28.10.6,192.203.230.10,DNS,97,,,,,,,,,,188,188,Internal
4827,0.197971,2.249.211.218,172.28.168.183,TCP,74,,,,0.0,1.0,5792.0,0.0,25591751.0,6561432.0,256,256,External
4843,0.198102,172.28.168.183,2.249.211.218,HTTP,95,,,,,,,,,,178,178,Internal
4860,0.198392,192.203.230.10,172.28.10.6,DNS,181,,,,,,,,,,188,188,External
4870,0.198488,18.63.206.49,172.28.182.6,HTTP,1193,,,,,,,,,,96,96,External
4884,0.202747,172.28.166.210,169.252.197.101,TCP,74,45992.0,80.0,SYN,0.0,,5840.0,0.0,6561433.0,0.0,59,59,Internal
4885,0.202949,169.252.197.101,172.28.166.210,TCP,74,,,,0.0,1.0,5792.0,0.0,25591751.0,6561433.0,101,101,External
4887,0.203018,172.28.166.210,169.252.197.101,HTTP,94,,,,,,,,,,59,59,Internal
4965,0.205663,172.28.228.157,125.148.250.183,TCP,74,36869.0,80.0,SYN,0.0,,5840.0,0.0,6561433.0,0.0,39,39,Internal
5001,0.206123,125.148.250.183,172.28.228.157,TCP,74,,,,0.0,1.0,5792.0,0.0,25591752.0,6561433.0,55,55,External
5015,0.206241,172.28.228.157,125.148.250.183,HTTP,94,,,,,,,,,,39,39,Internal
5040,0.206435,169.252.197.101,172.28.166.210,HTTP,334,,,,,,,,,,101,101,External
5049,0.209316,172.28.77.180,15.138.33.134,TCP,74,37607.0,80.0,SYN,0.0,,5840.0,0.0,6561433.0,0.0,127,127,Internal
5052,0.209518,15.138.33.134,172.28.77.180,TCP,74,,,,0.0,1.0,5792.0,0.0,25591752.0,6561433.0,225,225,External
5054,0.209603,172.28.77.180,15.138.33.134,HTTP,93,,,,,,,,,,127,127,Internal
5057,0.209647,172.28.10.6,193.0.14.129,DNS,87,,,,,,,,,,185,185,Internal
5063,0.21003,193.0.14.129,172.28.10.6,DNS,171,,,,,,,,,,185,185,External
5326,0.220021,172.28.206.52,191.235.18.19,TCP,74,60640.0,80.0,SYN,0.0,,5840.0,0.0,6561435.0,0.0,29,29,Internal
5327,0.220221,191.235.18.19,172.28.206.52,TCP,74,,,,0.0,1.0,5792.0,0.0,25591753.0,6561435.0,29,29,External
5329,0.220286,172.28.206.52,191.235.18.19,HTTP,94,,,,,,,,,,29,29,Internal
5335,0.220801,64.180.87.71,172.28.13.47,TCP,66,,,,1.0,1.0,501.0,0.0,24975422.0,6374279.0,2,2,External
5338,0.220979,172.28.13.47,64.180.87.71,TCP,66,80.0,53747.0,ACK,1.0,2.0,46.0,0.0,6376559.0,24975422.0,2,2,Internal
5339,0.221063,70.98.25.66,172.28.13.29,TCP,74,56889.0,80.0,SYN,0.0,,5840.0,0.0,24975422.0,0.0,59,59,External
5340,0.221215,172.28.13.29,70.98.25.66,TCP,74,,,,0.0,1.0,5792.0,0.0,6376559.0,24975422.0,71,71,Internal
5345,0.221291,191.235.18.19,172.28.206.52,HTTP,1434,,,,,,,,,,29,29,External
5353,0.221617,70.98.25.66,172.28.13.29,HTTP,145,,,,,,,,,,59,59,External
5474,0.224962,125.148.250.183,172.28.228.157,HTTP,878,,,,,,,,,,55,55,External
5484,0.226093,172.28.13.29,70.98.25.66,HTTP,459,,,,,,,,,,71,71,Internal
5636,0.227037,172.28.142.167,204.61.249.212,TCP,74,46057.0,80.0,SYN,0.0,,5840.0,0.0,6561435.0,0.0,18,18,Internal
5673,0.227253,2.249.211.218,172.28.168.183,HTTP,921,,,,,,,,,,256,256,External
5678,0.227264,204.61.249.212,172.28.142.167,TCP,74,,,,0.0,1.0,5792.0,0.0,25591754.0,6561435.0,18,18,External
5687,0.227355,172.28.142.167,204.61.249.212,HTTP,94,,,,,,,,,,18,18,Internal
5716,0.22894,204.61.249.212,172.28.142.167,HTTP,633,,,,,,,,,,18,18,External
5740,0.236551,172.28.158.247,186.117.162.131,TCP,74,48931.0,80.0,SYN,0.0,,5840.0,0.0,6561436.0,0.0,37,37,Internal
5749,0.23678,186.117.162.131,172.28.158.247,TCP,74,,,,0.0,1.0,5792.0,0.0,25591755.0,6561436.0,48,48,External
5757,0.236894,172.28.158.247,186.117.162.131,HTTP,95,,,,,,,,,,37,37,Internal
6070,0.240058,15.138.33.134,172.28.77.180,HTTP,794,,,,,,,,,,225,225,External
6082,0.242972,172.28.145.171,71.30.238.122,TCP,74,54155.0,80.0,SYN,0.0,,5840.0,0.0,6561437.0,0.0,29,29,Internal
6083,0.243173,71.30.238.122,172.28.145.171,TCP,74,,,,0.0,1.0,5792.0,0.0,25591755.0,6561437.0,32,32,External
6085,0.243244,172.28.145.171,71.30.238.122,HTTP,95,,,,,,,,,,29,29,Internal
6086,0.24329,172.28.10.6,192.228.79.201,DNS,83,,,,,,,,,,196,196,Internal
