No.,Time,Source,Destination,Protocol,Length,Source Port,Destination Port,TCP Flags,Sequence Number,Acknowledgment Number,Window Size,Payload Length,TSval,TSecr,NodeWeight,EdgeWeight,Classification
6090,0.243728,192.228.79.201,172.28.10.6,DNS,167,,,,,,,,,,196,196,External
6160,0.245461,71.30.238.122,172.28.145.171,HTTP,949,,,,,,,,,,32,32,External
6217,0.246434,186.117.162.131,172.28.158.247,HTTP,192,,,,,,,,,,48,48,External
6225,0.250961,172.28.124.5,145.55.160.83,TCP,74,33620.0,80.0,SYN,0.0,,5840.0,0.0,6561438.0,0.0,47,47,Internal
6226,0.251162,145.55.160.83,172.28.124.5,TCP,74,,,,0.0,1.0,5792.0,0.0,25591756.0,6561438.0,61,61,External
6228,0.251228,172.28.124.5,145.55.160.83,HTTP,94,,,,,,,,,,47,47,Internal
6308,0.253888,145.55.160.83,172.28.124.5,HTTP,668,,,,,,,,,,61,61,External
6333,0.258108,172.28.149.96,91.166.206.238,TCP,74,40899.0,80.0,SYN,0.0,,5840.0,0.0,6561438.0,0.0,15,15,Internal
6334,0.258309,91.166.206.238,172.28.149.96,TCP,74,,,,0.0,1.0,5792.0,0.0,25591757.0,6561438.0,15,15,External
6336,0.25838,172.28.149.96,91.166.206.238,HTTP,95,,,,,,,,,,15,15,Internal
6354,0.259865,91.166.206.238,172.28.149.96,HTTP,760,,,,,,,,,,15,15,External
6392,0.263981,172.28.37.252,147.243.187.186,TCP,74,47701.0,80.0,SYN,0.0,,5840.0,0.0,6561439.0,0.0,18,18,Internal
6400,0.264181,147.243.187.186,172.28.37.252,TCP,74,,,,0.0,1.0,5792.0,0.0,25591757.0,6561439.0,18,18,External
6406,0.26427,172.28.37.252,147.243.187.186,HTTP,95,,,,,,,,,,18,18,Internal
6485,0.270095,147.243.187.186,172.28.37.252,HTTP,235,,,,,,,,,,18,18,External
6496,0.2706,172.28.81.142,89.54.246.30,TCP,74,44753.0,80.0,SYN,0.0,,5840.0,0.0,6561440.0,0.0,18,18,Internal
6497,0.2708,89.54.246.30,172.28.81.142,TCP,74,,,,0.0,1.0,5792.0,0.0,25591758.0,6561440.0,18,18,External
6499,0.270871,172.28.81.142,89.54.246.30,HTTP,95,,,,,,,,,,18,18,Internal
6521,0.272442,89.54.246.30,172.28.81.142,HTTP,538,,,,,,,,,,18,18,External
6532,0.274589,172.28.1.5,66.200.1.1,SMTP,122,,,,,,,,,,511,511,Internal
6534,0.277739,172.28.83.245,84.178.134.206,TCP,74,58457.0,80.0,SYN,0.0,,5840.0,0.0,6561440.0,0.0,15,15,Internal
6535,0.277937,84.178.134.206,172.28.83.245,TCP,74,,,,0.0,1.0,5792.0,0.0,25591759.0,6561440.0,15,15,External
6537,0.278008,172.28.83.245,84.178.134.206,HTTP,94,,,,,,,,,,15,15,Internal
6539,0.278394,84.178.134.206,172.28.83.245,HTTP,590,,,,,,,,,,15,15,External
6564,0.282454,172.28.203.222,46.164.31.97,TCP,74,60673.0,80.0,SYN,0.0,,5840.0,0.0,6561441.0,0.0,752,752,Internal
6565,0.282652,46.164.31.97,172.28.203.222,TCP,74,,,,0.0,1.0,5792.0,0.0,25591759.0,6561441.0,1140,1140,External
6567,0.28272,172.28.203.222,46.164.31.97,HTTP,94,,,,,,,,,,752,752,Internal
6734,0.286342,172.28.75.68,217.182.183.109,TCP,74,53101.0,80.0,SYN,0.0,,5840.0,0.0,6561441.0,0.0,25,25,Internal
6792,0.286769,217.182.183.109,172.28.75.68,TCP,74,,,,0.0,1.0,5792.0,0.0,25591760.0,6561441.0,25,25,External
6805,0.28686,172.28.75.68,217.182.183.109,HTTP,94,,,,,,,,,,25,25,Internal
7620,0.29212,66.200.1.1,172.28.1.5,SMTP,72,,,,,,,,,,476,476,External
7649,0.292296,172.28.1.5,66.200.1.1,TCP,66,25.0,35115.0,ACK,57.0,7.0,84.0,0.0,6376566.0,24975429.0,511,511,Internal
7987,0.294394,172.28.37.124,201.221.0.68,TCP,74,54444.0,80.0,SYN,0.0,,5840.0,0.0,6561442.0,0.0,23,23,Internal
8171,0.295886,66.200.1.1,172.28.1.5,TCP,66,,,,7.0,107.0,71.0,0.0,24975430.0,6376566.0,476,476,External
8468,0.298292,46.164.31.97,172.28.203.222,HTTP,730,,,,,,,,,,1140,1140,External
8469,0.298293,201.221.0.68,172.28.37.124,TCP,74,,,,0.0,1.0,5792.0,0.0,25591760.0,6561442.0,23,23,External
8479,0.298391,172.28.37.124,201.221.0.68,HTTP,94,,,,,,,,,,23,23,Internal
8515,0.299336,217.182.183.109,172.28.75.68,HTTP,848,,,,,,,,,,25,25,External
8554,0.300449,201.221.0.68,172.28.37.124,HTTP,264,,,,,,,,,,23,23,External
8562,0.303984,172.28.138.84,185.161.94.113,TCP,74,49043.0,80.0,SYN,0.0,,5840.0,0.0,6561443.0,0.0,8,8,Internal
8563,0.304182,185.161.94.113,172.28.138.84,TCP,74,,,,0.0,1.0,5792.0,0.0,25591761.0,6561443.0,8,8,External
8565,0.30425,172.28.138.84,185.161.94.113,HTTP,95,,,,,,,,,,8,8,Internal
8573,0.305201,185.161.94.113,172.28.138.84,HTTP,900,,,,,,,,,,8,8,External
8578,0.309001,172.28.36.30,15.248.90.124,TCP,74,42749.0,80.0,SYN,0.0,,5840.0,0.0,6561443.0,0.0,39,39,Internal
8579,0.3092,15.248.90.124,172.28.36.30,TCP,74,,,,0.0,1.0,5792.0,0.0,25591762.0,6561443.0,39,39,External
8581,0.309265,172.28.36.30,15.248.90.124,HTTP,93,,,,,,,,,,39,39,Internal
8582,0.309299,172.28.10.6,198.41.0.4,DNS,86,,,,,,,,,,172,172,Internal
8586,0.309752,198.41.0.4,172.28.10.6,DNS,170,,,,,,,,,,172,172,External
8598,0.310692,15.248.90.124,172.28.36.30,HTTP,846,,,,,,,,,,39,39,External
8658,0.31542,172.28.192.5,64.180.1.1,SMTP,248,,,,,,,,,,562,562,Internal
8659,0.315681,64.180.1.1,172.28.192.5,TCP,66,48158.0,25.0,ACK,1.0,183.0,54.0,0.0,24975432.0,6376569.0,733,733,External
8660,0.315716,64.180.1.1,172.28.192.5,SMTP,82,,,,,,,,,,733,733,External
8661,0.315854,172.28.192.5,64.180.1.1,TCP,66,25.0,48158.0,ACK,183.0,17.0,46.0,0.0,6376569.0,24975432.0,562,562,Internal
8663,0.316032,172.28.180.195,118.61.58.121,TCP,74,42000.0,80.0,SYN,0.0,,5840.0,0.0,6561444.0,0.0,42,42,Internal
8664,0.316234,118.61.58.121,172.28.180.195,TCP,74,,,,0.0,1.0,5792.0,0.0,25591763.0,6561444.0,49,49,External
8666,0.316302,172.28.180.195,118.61.58.121,HTTP,95,,,,,,,,,,42,42,Internal
8678,0.321832,118.61.58.121,172.28.180.195,HTTP,175,,,,,,,,,,49,49,External
8689,0.324622,172.28.172.103,12.154.99.84,TCP,74,48166.0,80.0,SYN,0.0,,5840.0,0.0,6561445.0,0.0,49,49,Internal
8690,0.324823,12.154.99.84,172.28.172.103,TCP,74,,,,0.0,1.0,5792.0,0.0,25591763.0,6561445.0,77,77,External
8692,0.32489,172.28.172.103,12.154.99.84,HTTP,94,,,,,,,,,,49,49,Internal
8877,0.328052,12.154.99.84,172.28.172.103,HTTP,749,,,,,,,,,,77,77,External
8883,0.335523,172.28.205.33,124.243.7.98,TCP,74,39773.0,80.0,SYN,0.0,,5840.0,0.0,6561446.0,0.0,20,20,Internal
8884,0.335721,124.243.7.98,172.28.205.33,TCP,74,,,,0.0,1.0,5792.0,0.0,25591765.0,6561446.0,20,20,External
8886,0.335789,172.28.205.33,124.243.7.98,HTTP,95,,,,,,,,,,20,20,Internal
8918,0.337742,124.243.7.98,172.28.205.33,HTTP,181,,,,,,,,,,20,20,External
8923,0.345169,172.28.126.39,195.103.196.81,TCP,74,47463.0,80.0,SYN,0.0,,5840.0,0.0,6561447.0,0.0,29,29,Internal
8924,0.345369,195.103.196.81,172.28.126.39,TCP,74,,,,0.0,1.0,5792.0,0.0,25591766.0,6561447.0,32,32,External
8926,0.345434,172.28.126.39,195.103.196.81,HTTP,95,,,,,,,,,,29,29,Internal
8979,0.347583,195.103.196.81,172.28.126.39,HTTP,114,,,,,,,,,,32,32,External
8986,0.351542,172.28.50.57,31.118.184.29,TCP,74,33626.0,80.0,SYN,0.0,,5840.0,0.0,6561448.0,0.0,70,70,Internal
8987,0.35178,31.118.184.29,172.28.50.57,TCP,74,,,,0.0,1.0,5792.0,0.0,25591766.0,6561448.0,106,106,External
8990,0.351851,172.28.50.57,31.118.184.29,HTTP,95,,,,,,,,,,70,70,Internal
9103,0.360704,172.28.164.50,139.74.35.71,TCP,74,34429.0,80.0,SYN,0.0,,5840.0,0.0,6561449.0,0.0,5,5,Internal
9160,0.361169,31.118.184.29,172.28.50.57,HTTP,234,,,,,,,,,,106,106,External
9161,0.361169,139.74.35.71,172.28.164.50,TCP,74,,,,0.0,1.0,5792.0,0.0,25591767.0,6561449.0,5,5,External
9169,0.361273,172.28.164.50,139.74.35.71,HTTP,93,,,,,,,,,,5,5,Internal
9177,0.361681,139.74.35.71,172.28.164.50,HTTP,591,,,,,,,,,,5,5,External
9187,0.362082,64.180.1.1,172.28.192.5,SMTP/IMF,735,,,,,,,,,,733,733,External
9192,0.367308,172.28.163.102,55.106.116.191,TCP,74,43342.0,80.0,SYN,0.0,,5840.0,0.0,6561449.0,0.0,19,19,Internal
9193,0.367508,55.106.116.191,172.28.163.102,TCP,74,,,,0.0,1.0,5792.0,0.0,25591768.0,6561449.0,19,19,External
9196,0.367578,172.28.163.102,55.106.116.191,HTTP,94,,,,,,,,,,19,19,Internal
9228,0.369523,55.106.116.191,172.28.163.102,HTTP,716,,,,,,,,,,19,19,External
9232,0.377047,172.28.183.98,209.217.4.78,TCP,74,49672.0,80.0,SYN,0.0,,5840.0,0.0,6561450.0,0.0,54,54,Internal
9233,0.377247,209.217.4.78,172.28.183.98,TCP,74,,,,0.0,1.0,5792.0,0.0,25591769.0,6561450.0,73,73,External
9235,0.377312,172.28.183.98,209.217.4.78,HTTP,95,,,,,,,,,,54,54,Internal
9237,0.38464,172.28.65.233,30.210.52.53,TCP,74,47166.0,80.0,SYN,0.0,,5840.0,0.0,6561451.0,0.0,22,22,Internal
9238,0.384841,30.210.52.53,172.28.65.233,TCP,74,,,,0.0,1.0,5792.0,0.0,25591769.0,6561451.0,22,22,External
9240,0.384913,172.28.65.233,30.210.52.53,HTTP,95,,,,,,,,,,22,22,Internal
9276,0.386908,30.210.52.53,172.28.65.233,HTTP,454,,,,,,,,,,22,22,External
9398,0.390629,209.217.4.78,172.28.183.98,HTTP,1202,,,,,,,,,,73,73,External
9405,0.392158,172.28.163.40,80.177.173.71,TCP,74,53096.0,80.0,SYN,0.0,,5840.0,0.0,6561452.0,0.0,59,59,Internal
9406,0.39236,80.177.173.71,172.28.163.40,TCP,74,,,,0.0,1.0,5792.0,0.0,25591770.0,6561452.0,103,103,External
9408,0.392426,172.28.163.40,80.177.173.71,HTTP,94,,,,,,,,,,59,59,Internal
9561,0.395909,80.177.173.71,172.28.163.40,HTTP,1322,,,,,,,,,,103,103,External
9567,0.398518,172.28.225.3,191.229.253.181,TCP,74,48639.0,80.0,SYN,0.0,,5840.0,0.0,6561452.0,0.0,30,30,Internal
9568,0.398716,191.229.253.181,172.28.225.3,TCP,74,,,,0.0,1.0,5792.0,0.0,25591771.0,6561452.0,30,30,External
9570,0.398785,172.28.225.3,191.229.253.181,HTTP,94,,,,,,,,,,30,30,Internal
9572,0.399602,172.28.23.81,54.181.190.94,HTTP,138,,,,,,,,,,90,90,Internal
9573,0.399682,172.28.23.81,54.181.190.94,TCP,66,,,,73.0,1.0,91.0,0.0,6376577.0,25591569.0,90,90,Internal
9574,0.3998,54.181.190.94,172.28.23.81,TCP,60,80.0,56044.0,RST,1.0,,0.0,0.0,,,114,114,External
9582,0.40127,54.181.190.94,172.28.23.81,HTTP,474,,,,,,,,,,114,114,External
9591,0.405465,191.229.253.181,172.28.225.3,HTTP,679,,,,,,,,,,30,30,External
9596,0.405805,172.28.75.208,196.185.105.136,TCP,74,35341.0,80.0,SYN,0.0,,5840.0,0.0,6561453.0,0.0,13,13,Internal
9598,0.406015,196.185.105.136,172.28.75.208,TCP,74,,,,0.0,1.0,5792.0,0.0,25591772.0,6561453.0,13,13,External
9603,0.406106,172.28.75.208,196.185.105.136,HTTP,94,,,,,,,,,,13,13,Internal
9623,0.407614,196.185.105.136,172.28.75.208,HTTP,646,,,,,,,,,,13,13,External
9674,0.415602,172.28.226.2,126.240.201.103,TCP,74,45780.0,80.0,SYN,0.0,,5840.0,0.0,6561454.0,0.0,76,76,Internal
9675,0.415801,126.240.201.103,172.28.226.2,TCP,74,,,,0.0,1.0,5792.0,0.0,25591773.0,6561454.0,137,137,External
9677,0.41587,172.28.226.2,126.240.201.103,HTTP,94,,,,,,,,,,76,76,Internal
9755,0.418509,172.28.203.63,134.247.34.145,TCP,74,40552.0,80.0,SYN,0.0,,5840.0,0.0,6561454.0,0.0,10,10,Internal
9791,0.418987,134.247.34.145,172.28.203.63,TCP,74,,,,0.0,1.0,5792.0,0.0,25591773.0,6561454.0,10,10,External
9805,0.419099,172.28.203.63,134.247.34.145,HTTP,95,,,,,,,,,,10,10,Internal
9884,0.419739,126.240.201.103,172.28.226.2,HTTP,1031,,,,,,,,,,137,137,External
9896,0.424049,66.200.84.208,172.28.13.14,HTTP,145,,,,,,,,,,9,9,External
9897,0.42412,66.200.84.208,172.28.13.14,TCP,66,,,,80.0,1.0,55.0,0.0,24975442.0,6376269.0,9,9,External
9898,0.424204,172.28.13.14,66.200.84.208,TCP,60,80.0,42460.0,RST,1.0,,0.0,0.0,,,8,8,Internal
9904,0.424434,134.247.34.145,172.28.203.63,HTTP,402,,,,,,,,,,10,10,External
9924,0.427533,172.28.168.95,58.169.29.156,TCP,74,59030.0,80.0,SYN,0.0,,5840.0,0.0,6561455.0,0.0,10,10,Internal
9925,0.427734,58.169.29.156,172.28.168.95,TCP,74,,,,0.0,1.0,5792.0,0.0,25591774.0,6561455.0,10,10,External
9927,0.427804,172.28.168.95,58.169.29.156,HTTP,95,,,,,,,,,,10,10,Internal
9929,0.428204,58.169.29.156,172.28.168.95,HTTP,592,,,,,,,,,,10,10,External
9955,0.431729,172.28.13.14,66.200.84.208,HTTP,597,,,,,,,,,,8,8,Internal
9973,0.433551,172.28.52.72,59.209.14.80,TCP,74,54762.0,80.0,SYN,0.0,,5840.0,0.0,6561456.0,0.0,28,28,Internal
9974,0.433749,59.209.14.80,172.28.52.72,TCP,74,,,,0.0,1.0,5792.0,0.0,25591774.0,6561456.0,30,30,External
9976,0.43382,172.28.52.72,59.209.14.80,HTTP,94,,,,,,,,,,28,28,Internal
10018,0.435919,59.209.14.80,172.28.52.72,HTTP,168,,,,,,,,,,30,30,External
10031,0.441247,172.28.124.80,150.92.104.142,TCP,74,39632.0,80.0,SYN,0.0,,5840.0,0.0,6561457.0,0.0,9,9,Internal
10032,0.441451,150.92.104.142,172.28.124.80,TCP,74,,,,0.0,1.0,5792.0,0.0,25591775.0,6561457.0,9,9,External
10034,0.441516,172.28.124.80,150.92.104.142,HTTP,95,,,,,,,,,,9,9,Internal
10043,0.442491,150.92.104.142,172.28.124.80,HTTP,446,,,,,,,,,,9,9,External
10049,0.44595,172.28.187.13,110.97.234.115,TCP,74,48937.0,80.0,SYN,0.0,,5840.0,0.0,6561457.0,0.0,8,8,Internal
10050,0.446149,110.97.234.115,172.28.187.13,TCP,74,,,,0.0,1.0,5792.0,0.0,25591776.0,6561457.0,8,8,External
10052,0.446214,172.28.187.13,110.97.234.115,HTTP,94,,,,,,,,,,8,8,Internal
10062,0.450106,110.97.234.115,172.28.187.13,HTTP,1459,,,,,,,,,,8,8,External
10067,0.453012,172.28.175.103,173.103.44.165,TCP,74,50284.0,80.0,SYN,0.0,,5840.0,0.0,6561458.0,0.0,32,32,Internal
10068,0.453213,173.103.44.165,172.28.175.103,TCP,74,,,,0.0,1.0,5792.0,0.0,25591776.0,6561458.0,37,37,External
10070,0.453278,172.28.175.103,173.103.44.165,HTTP,94,,,,,,,,,,32,32,Internal
10131,0.456064,173.103.44.165,172.28.175.103,HTTP,1209,,,,,,,,,,37,37,External
10137,0.461705,172.28.142.2,173.146.113.36,TCP,74,42419.0,80.0,SYN,0.0,,5840.0,0.0,6561459.0,0.0,24,24,Internal
10138,0.461906,173.146.113.36,172.28.142.2,TCP,74,,,,0.0,1.0,5792.0,0.0,25591777.0,6561459.0,24,24,External
10140,0.461975,172.28.142.2,173.146.113.36,HTTP,94,,,,,,,,,,24,24,Internal
10178,0.464007,173.146.113.36,172.28.142.2,HTTP,244,,,,,,,,,,24,24,External
10188,0.467147,172.28.178.238,217.17.13.98,TCP,74,58517.0,80.0,SYN,0.0,,5840.0,0.0,6561459.0,0.0,11,11,Internal
10189,0.467346,217.17.13.98,172.28.178.238,TCP,74,,,,0.0,1.0,5792.0,0.0,25591778.0,6561459.0,11,11,External
10191,0.467416,172.28.178.238,217.17.13.98,HTTP,94,,,,,,,,,,11,11,Internal
10206,0.472431,217.17.13.98,172.28.178.238,HTTP,451,,,,,,,,,,11,11,External
10210,0.476717,172.28.138.203,29.35.231.60,TCP,74,38412.0,80.0,SYN,0.0,,5840.0,0.0,6561460.0,0.0,33,33,Internal
10211,0.476917,29.35.231.60,172.28.138.203,TCP,74,,,,0.0,1.0,5792.0,0.0,25591779.0,6561460.0,33,33,External
10213,0.47699,172.28.138.203,29.35.231.60,HTTP,94,,,,,,,,,,33,33,Internal
10247,0.478959,29.35.231.60,172.28.138.203,HTTP,1280,,,,,,,,,,33,33,External
10278,0.486634,172.28.3.146,70.98.31.6,TCP,66,,,,1.0,1.0,46.0,0.0,6376586.0,24973949.0,8,8,Internal
10279,0.488154,172.28.180.37,20.19.217.174,TCP,74,55733.0,80.0,SYN,0.0,,5840.0,0.0,6561461.0,0.0,28,28,Internal
10280,0.488352,20.19.217.174,172.28.180.37,TCP,74,,,,0.0,1.0,5792.0,0.0,25591780.0,6561461.0,29,29,External
10282,0.488417,172.28.180.37,20.19.217.174,HTTP,95,,,,,,,,,,28,28,Internal
10327,0.490536,20.19.217.174,172.28.180.37,HTTP,1412,,,,,,,,,,29,29,External
10351,0.492702,172.28.93.140,142.51.184.194,TCP,74,41535.0,80.0,SYN,0.0,,5840.0,0.0,6561462.0,0.0,152,152,Internal
10352,0.492903,142.51.184.194,172.28.93.140,TCP,74,,,,0.0,1.0,5792.0,0.0,25591780.0,6561462.0,300,300,External
10354,0.492974,172.28.93.140,142.51.184.194,HTTP,94,,,,,,,,,,152,152,Internal
10356,0.501162,172.28.180.224,76.40.109.121,TCP,74,48404.0,80.0,SYN,0.0,,5840.0,0.0,6561463.0,0.0,26,26,Internal
10357,0.501361,76.40.109.121,172.28.180.224,TCP,74,,,,0.0,1.0,5792.0,0.0,25591781.0,6561463.0,26,26,External
10359,0.501425,172.28.180.224,76.40.109.121,HTTP,95,,,,,,,,,,26,26,Internal
10409,0.503138,76.40.109.121,172.28.180.224,HTTP,719,,,,,,,,,,26,26,External
10422,0.503388,70.98.1.1,172.28.128.5,SMTP,82,,,,,,,,,,284,284,External
10438,0.503578,172.28.128.5,70.98.1.1,TCP,66,25.0,59862.0,ACK,182.0,17.0,46.0,0.0,6376588.0,24975450.0,260,260,Internal
10857,0.508652,142.51.184.194,172.28.93.140,HTTP,1352,,,,,,,,,,300,300,External
10863,0.512807,172.28.124.48,126.139.189.178,TCP,74,56538.0,80.0,SYN,0.0,,5840.0,0.0,6561464.0,0.0,141,141,Internal
10864,0.51301,126.139.189.178,172.28.124.48,TCP,74,,,,0.0,1.0,5792.0,0.0,25591782.0,6561464.0,272,272,External
10866,0.513083,172.28.124.48,126.139.189.178,HTTP,95,,,,,,,,,,141,141,Internal
10868,0.513895,172.28.4.95,1.43.223.217,HTTP,141,,,,,,,,,,52,52,Internal
10869,0.513964,172.28.4.95,1.43.223.217,TCP,66,,,,76.0,1.0,91.0,0.0,6376589.0,25585064.0,52,52,Internal
10870,0.514091,1.43.223.217,172.28.4.95,TCP,60,80.0,36681.0,RST,1.0,,0.0,0.0,,,51,51,External
10880,0.515575,1.43.223.217,172.28.4.95,HTTP,479,,,,,,,,,,51,51,External
11079,0.524185,172.28.173.149,203.49.127.121,TCP,74,38525.0,80.0,SYN,0.0,,5840.0,0.0,6561465.0,0.0,13,13,Internal
11141,0.524624,203.49.127.121,172.28.173.149,TCP,74,,,,0.0,1.0,5792.0,0.0,25591783.0,6561465.0,13,13,External
11163,0.524765,172.28.173.149,203.49.127.121,HTTP,93,,,,,,,,,,13,13,Internal
11286,0.525627,126.139.189.178,172.28.124.48,HTTP,1441,,,,,,,,,,272,272,External
11296,0.527894,172.28.73.245,154.29.138.43,TCP,74,33782.0,80.0,SYN,0.0,,5840.0,0.0,6561465.0,0.0,5,5,Internal
11297,0.528094,154.29.138.43,172.28.73.245,TCP,74,,,,0.0,1.0,5792.0,0.0,25591784.0,6561465.0,5,5,External
11299,0.52816,172.28.73.245,154.29.138.43,HTTP,94,,,,,,,,,,5,5,Internal
11303,0.52854,154.29.138.43,172.28.73.245,HTTP,594,,,,,,,,,,5,5,External
11321,0.529481,203.49.127.121,172.28.173.149,HTTP,1071,,,,,,,,,,13,13,External
11327,0.533258,172.28.226.157,96.139.114.125,TCP,74,53080.0,80.0,SYN,0.0,,5840.0,0.0,6561466.0,0.0,37,37,Internal
11328,0.533459,96.139.114.125,172.28.226.157,TCP,74,,,,0.0,1.0,5792.0,0.0,25591784.0,6561466.0,47,47,External
11330,0.533529,172.28.226.157,96.139.114.125,HTTP,93,,,,,,,,,,37,37,Internal
11370,0.535582,70.98.31.6,172.28.3.146,TCP,66,44331.0,80.0,ACK,1.0,2.0,54.0,0.0,24975453.0,6376586.0,9,9,External
11406,0.536158,96.139.114.125,172.28.226.157,HTTP,1236,,,,,,,,,,47,47,External
11414,0.540774,172.28.71.184,195.205.5.30,TCP,74,42905.0,80.0,SYN,0.0,,5840.0,0.0,6561467.0,0.0,35,35,Internal
11415,0.540976,195.205.5.30,172.28.71.184,TCP,74,,,,0.0,1.0,5792.0,0.0,25591785.0,6561467.0,44,44,External
11417,0.541046,172.28.71.184,195.205.5.30,HTTP,94,,,,,,,,,,35,35,Internal
11487,0.54911,195.205.5.30,172.28.71.184,HTTP,1322,,,,,,,,,,44,44,External
11493,0.551493,172.28.183.208,38.17.184.110,TCP,74,42844.0,80.0,SYN,0.0,,5840.0,0.0,6561468.0,0.0,23,23,Internal
11494,0.551696,38.17.184.110,172.28.183.208,TCP,74,,,,0.0,1.0,5792.0,0.0,25591786.0,6561468.0,23,23,External
11496,0.551761,172.28.183.208,38.17.184.110,HTTP,94,,,,,,,,,,23,23,Internal
11499,0.555012,70.98.1.1,172.28.128.5,SMTP/IMF,522,,,,,,,,,,284,284,External
11521,0.557723,38.17.184.110,172.28.183.208,HTTP,1361,,,,,,,,,,23,23,External
11541,0.558853,172.28.149.96,7.74.144.61,TCP,74,56183.0,80.0,SYN,0.0,,5840.0,0.0,6561468.0,0.0,115,115,Internal
11543,0.559051,7.74.144.61,172.28.149.96,TCP,74,,,,0.0,1.0,5792.0,0.0,25591787.0,6561468.0,174,174,External
11545,0.559122,172.28.149.96,7.74.144.61,HTTP,94,,,,,,,,,,115,115,Internal
11821,0.570312,7.74.144.61,172.28.149.96,HTTP,1431,,,,,,,,,,174,174,External
11834,0.570754,172.28.127.238,20.92.205.180,TCP,74,55397.0,80.0,SYN,0.0,,5840.0,0.0,6561470.0,0.0,23,23,Internal
11835,0.570952,20.92.205.180,172.28.127.238,TCP,74,,,,0.0,1.0,5792.0,0.0,25591788.0,6561470.0,23,23,External
